user,date,text,retweet_count,like_count,reply_count,quote_count
elonmusk,2025-09-12 00:25:30+00:00,It has indeed come to this https://t.co/vNoYCV1uth,20188,150819,4534,495
elonmusk,2025-09-11 21:00:15+00:00,Anyone who celebrates murder is evil and should be utterly condemned https://t.co/AyPhMSMAfq,35111,287624,14043,1258
elonmusk,2025-09-11 08:28:47+00:00,He was murdered https://t.co/KDaomi5AlJ,20823,266572,9539,614
elonmusk,2025-09-11 03:00:04+00:00,They are celebrating cold-blooded murder https://t.co/QW8q7wFuRQ,57840,461021,24639,2312
elonmusk,2025-09-10 20:03:04+00:00,Exactly https://t.co/Wct4kqElrn,28708,244770,8302,550
elonmusk,2025-09-10 19:28:43+00:00,"The shot looked real bad, but I sure hope Charlie makes it somehow",29958,641601,20254,2100
elonmusk,2025-09-10 19:26:06+00:00,The Left is the party of murder https://t.co/qN1oToUHNc,132509,772778,36313,6759
elonmusk,2025-09-10 15:39:15+00:00,😂💯 https://t.co/yisxa5fIIW,4594,50049,2764,105
elonmusk,2025-09-10 15:30:26+00:00,"Legacy news like AP is super racist against Whites (and Asians). 

Either capitalize all races or none. That would be fair and equal treatment, but only lowercase for Whites is racist by definition! https://t.co/t6oHPmC7ic",37774,220261,10176,1537
elonmusk,2025-09-10 14:57:20+00:00,"A more accurate legacy news line would be that “instances of voter fraud are rarely caught, especially where showing your ID to vote is made illegal, like California and New York” 😂😢 https://t.co/J0rndlm6iO",26458,105792,2951,392
elonmusk,2025-09-10 14:49:26+00:00,"Designing dexterous hands for robots is a very hard problem. 

Then figuring out how to manufacture them at scale is 100 times harder. https://t.co/nA597AutGg",7604,49344,4109,375
elonmusk,2025-09-10 14:45:09+00:00,It should not be vastly easier to become licensed as a judge than licensed as a barber https://t.co/wN2BrALUEU,34460,203820,6759,964
elonmusk,2025-09-10 07:48:31+00:00,A second conviction for aggravated violent crime should get life imprisonment https://t.co/n03hnNsRKN,14249,97800,5755,617
elonmusk,2025-09-10 07:37:56+00:00,These NGOs should be sued into oblivion and their boards of directors ostracized from society https://t.co/MKfUfeuRXY,65642,319871,7166,1335
elonmusk,2025-09-10 07:35:18+00:00,💯 https://t.co/9F1f7oi44A,12965,145858,1594,101
elonmusk,2025-09-10 07:33:35+00:00,Only gets better from here https://t.co/Q8nC0CPpeb,4011,26390,1634,103
elonmusk,2025-09-10 07:32:35+00:00,"Time for MASSIVE change in America 
 https://t.co/IyUpNRHB2e",49657,335029,8100,1683
elonmusk,2025-09-10 07:26:18+00:00,Release the video https://t.co/OE07XjBLk7,56617,362177,5384,973
elonmusk,2025-09-10 07:25:24+00:00,💯 https://t.co/7zCrM70KjT,19663,148717,4916,534
elonmusk,2025-09-10 07:24:53+00:00,F NYT https://t.co/mdXZ8EFLcA,17414,114320,3816,575
